Name0,Desc1,Desc2,Name1,HEX,R,G,B,Hue,Sat,Lum
orange,red-orange,Pure (or mostly pure) orange,International orange (aerospace),#FF4F00,255,79,0,19,100.0,50.0
brown,red-orange,Dark orange [Brown tone],Sienna,#A0522D,160,82,45,19,56.1,40.2
brown,medium dark orange,Dark orange [Brown tone],Sienna,#A05220,160,82,45,19,66.7,37.6
pink,medium light pink,Soft pink,"China pink, Thulian pink",#DE6FA1,222,111,61,19,62.7,65.3
brown,red-orange,Dark moderate orange,Coconut,#965a3e,150,90,62,19,41.5,41.6
brown,light red-orange,Very soft orange,Zinnwaldite,#EBC2AF,235,194,175,19,60.0,80.4
orange,red-orange,Pure (or mostly pure) orange,Tangelo,#F94D00,249,77,0,19,100.0,48.8
brown,medium light red-orange,Soft orange,Sawtooth oak (Akashirotsurubami),#ec956c,236,149,108,19,77.1,67.5
orange,medium light  red-orange,Light orange,Atomic tangerine,#FF9966,255,153,102,20,100.0,70.0
brown,medium dark orange,Dark moderate orange,Clove-brown (Chōjicha),#8f583c,143,88,60,20,40.9,39.8
brown,orange,Dark moderate orange,Brown sugar,#AF6E4D,175,110,77,20,38.9,49.4
brown,medium dark orange,Dark orange [Brown tone],Brown,#993300,153,51,0,20,100.0,30.0
brown,medium light orange,Very soft orange,PinkSand,#DDAD95,221,173,149,20,51.4,72.5
grey,medium dark orange,Very dark grayish orange,Plain mouse (Sunezumi),#6e5f57,110,95,87,20,11.7,38.6
orange,red-orange,Bright orange,Vivid red-tangelo,#df6124,223,97,36,20,74.5,50.8
orange,orange,Pure (or mostly pure) orange,Willpower orange,#fd5800,253,88,0,20,100.0,49.6
brown,medium dark orange,Strong orange,Mahogany,#C04000,192,64,0,20,100.0,37.6
orange,red-orange,Vivid orange,Orange-red,#FF681F,255,104,31,20,100.0,56.1
brown,medium dark orange,Dark orange [Brown tone],Citrine Brown,#933709,147,55,9,20,88.5,30.6
brown,medium dark orange,Dark orange [Brown tone],Crayola Fuzzy Wuzzy,#87421F,135,66,31,20,62.7,32.5
orange,medium light orange,Light orange,Mango Tango,#FF8243,255,130,67,20,100.0,63.1
brown,medium light orange,Soft orange,Big Foot Feet,#e88e5a,232,142,90,21,75.5,63.1
brown,light orange,Very soft orange,LightBurningSand,#EFCDBB,239,205,187,21,61.9,83.5
brown,medium dark orange,Dark moderate orange,Milk chocolate,#84563c,132,86,60,21,37.5,37.6
orange,medium light orange,Soft orange,Pale persimmon (Usugaki),#fca474,252,164,116,21,95.8,72.2
orange,orange,Pure (or mostly pure) orange,Orange (Pantone),#FF5800,255,88,0,21,100.0,50.0
orange,orange,Pure (or mostly pure) orange,Maximum orange,#ff5b00,255,91,0,21,100.0,50.0
grey,light orange,Grayish orange,Pale silver,#C9C0BB,201,192,187,21,11.5,76.1
brown,medium dark orange,Dark orange [Brown tone],CopperCanyon,#7E3A15,126,58,21,21,71.4,28.8
grey,medium dark orange,Very dark grayish orange,Umber,#635147,99,81,71,21,16.5,33.3
orange,medium light orange,Soft orange,Plum-dyed (Umezome),#fa9258,250,146,88,21,94.2,66.3
brown,medium dark orange,Very dark desaturated orange,Aloewood-color (Kyara-iro),#6a432d,106,67,45,21,40.4,29.6
black,very dark orange,Very dark (mostly black) orange [Brown tone],Ink color (Sumi-iro),#27221f,39,34,31,22,11.4,13.7
orange,orange,Pure (or mostly pure) orange,Persimmon,#EC5800,236,88,0,22,100.0,46.3
brown,medium dark orange,Very dark desaturated orange,"Weathered bamboo (lit. ""sooty"") (Susutake-iro)",#593a27,89,58,39,22,39.1,25.1
brown,medium light orange,Slightly desaturated orange,Antique brass,#CD9575,205,149,117,22,46.8,63.1
brown,orange,Dark moderate orange,Loquat (tree) brown (Biwacha),#ab6134,171,97,52,22,53.4,43.7
brown,orange,Slightly desaturated orange,Crayola Antique Brass,#C88A65,200,138,101,22,47.4,59.0
grey,light orange,Light grayish orange,WhiteSand,#DCD7D4,220,215,212,22,10.3,84.7
brown,orange,Mostly desaturated dark orange,Crayola Beaver,#926F5B,146,111,91,22,23.2,46.5
brown,orange,Mostly desaturated dark orange,Beaver,#9F8170,159,129,112,22,19.7,53.1
orange,orange,Bright orange,Vivid tangelo,#f07427,240,116,39,22,87.0,54.7
orange,medium light orange,Very light orange,Stylish persimmon (Sharegaki),#ffa26b,255,162,107,22,100.0,71.0
grey,medium light orange,Grayish orange,White mouse (Shironezumi),#b9a193,185,161,147,22,21.3,65.1
pink,very light orange,Very pale orange,Unbleached silk,#FFDDCA,255,221,202,22,100.0,89.6
orange,orange,Pure (or mostly pure) orange,Vivid orange,#ff5f00,255,95,0,22,100.0,50.0
grey,orange,Dark grayish orange,Silver-grey (Ginnezumi),#97867c,151,134,124,22,11.5,53.9
orange,orange,Vivid orange,Crayola Radical Orange,#FF6103,255,97,3,22,100.0,50.6
orange,orange,Bright orange,Red-bronze (lit. red dye and turmeric) (Beniukon),#fb8136,251,129,54,22,96.1,59.8
brown,medium dark orange,Dark moderate orange,Brushwood-dyed (Fushizome),#8c5939,140,89,57,23,42.1,38.6
brown,orange,Moderate orange,KenyanCopperLight,#BF6935,191,105,53,23,56.6,47.8
brown,light orange,Very soft orange,DesertSand,#EFCDB8,239,205,184,23,63.2,82.9
black,very dark orange,Very dark (mostly black) orange [Brown tone],Zinnwaldite brown,#2c1608,44,22,8,23,69.2,10.2
brown,orange,Mostly desaturated dark orange,Dark brown-tangelo,#88654e,136,101,78,23,27.1,42.0
grey,medium light orange,Grayish orange,Mocha,#bea493,190,164,147,23,24.9,66.1
brown,medium dark orange,Dark orange [Brown tone],Iced tea,#923c01,146,60,1,24,98.6,28.8
grey,orange,Mostly desaturated dark orange,Lye-colored (Aku-iro),#7f6b5d,127,107,93,24,15.5,43.1
brown,orange,Slightly desaturated orange,White tea-colored (Shiracha),#C48E69,196,142,105,24,43.5,59.0
orange,orange,Pure (or mostly pure) orange,Orange,#FF6600,255,102,0,24,100.0,50.0
brown,medium dark orange,Dark moderate orange,Golden-grey bamboo (dried and weathered) (Kinsusutake),#7d4e2d,125,78,45,24,47.1,33.3
brown,orange,Strong orange,Ruddy brown,#bb6528,187,101,40,24,64.8,44.5
