index,Name0,Hue,Sat,Lum
15438707,brown,16.0,75.0,68.6
835561,blue,191.0,90.2,48.0
15579853,pink,338.0,58.6,82.9
13158,blue,210.0,100.0,20.0
15743077,pink,345.0,86.0,58.0
14812716,red,350.0,94.8,45.5
16749829,orange,36.0,100.0,51.0
12297325,brown,42.0,36.4,58.0
245820,green,138.0,96.9,38.2
16716947,pink,328.0,100.0,53.9
10188371,brown,29.0,30.3,46.7
65535,cyan,180.0,100.0,50.0
6301726,brown,9.0,52.4,24.7
4436910,cyan,177.0,45.5,48.2
14012382,grey,264.0,18.5,84.1
2190294,blue,215.0,73.3,48.4
15990945,pink,320.0,100.0,47.8
12566766,blue,238.0,58.0,84.1
13382604,purple,300.0,60.0,50.0
10027110,purple,320.0,100.0,30.0
8741000,purple,296.0,17.2,45.5
1927548,blue,192.0,62.1,30.0
15126699,brown,37.0,54.1,78.6
6710937,grey,240.0,20.0,50.0
15299665,orange,13.8,77.6,61.6
4767633,green,157.0,48.2,51.6
15962025,pink,344.0,80.6,75.7
6762823,purple,336.0,35.5,29.8
9265292,purple,301.0,19.0,46.5
6737322,cyan,160.0,50.7,60.2
6787687,green,120.0,17.3,48.8
16752346,brown,323.0,100.0,81.0
13619140,grey,60.0,10.3,79.0
33407,green,178.0,100.0,25.5
1315860,black,0.0,0.0,7.8
2003199,blue,210.0,100.0,55.9
8595981,brown,15.0,81.9,28.2
10972111,purple,276.0,51.0,61.6
11582538,green,66.0,46.0,51.4
16713728,red,2.0,100.0,50.0
6992586,blue,195.0,47.5,60.4
13343177,purple,302.0,32.5,69.8
26533,blue,203.0,100.0,32.4
12195340,red,3.0,87.9,38.8
217238,blue,209.0,96.1,30.0
16767410,brown,30.0,100.0,84.9
15539236,red,358.0,85.3,52.0
16776656,yellow,57.0,100.0,90.8
12152010,purple,289.0,47.0,60.8
26004,blue,199.0,100.0,29.0
10540724,green,142.0,39.7,73.3
26317,blue,210.0,100.0,40.2
35719,green,178.0,100.0,27.3
2245558,blue,227.0,68.5,42.4
14483711,purple,292.0,100.0,50.0
15401020,red,345.0,100.0,46.1
16608414,pink,339.0,97.3,70.8
13053000,red,349.0,63.8,47.6
12359806,brown,47.0,31.6,61.6
12500670,grey,0.0,0.0,74.5
16701617,brown,30.0,97.5,84.5
15459572,purple,266.0,42.1,92.5
12885946,purple,316.0,23.9,69.6
11739444,red,352.0,68.9,41.6
6050376,grey,30.0,12.2,32.2
8167129,blue,218.0,55.0,66.9
18771,green,187.0,100.0,16.3
8913029,purple,300.0,100.0,26.7
2507592,blue,189.0,30.9,21.6
15521221,brown,25.0,50.6,84.9
15715328,yellow,51.0,100.0,46.9
703157,cyan,178.0,89.8,38.4
13046322,red,349.0,83.4,42.5
27214,green,164.0,100.0,20.8
255,blue,240.0,100.0,50.0
16772235,yellow,50.0,100.0,77.3
16578398,yellow,58.0,96.3,67.8
13369395,red,345.0,100.0,40.0
9978595,purple,272.0,74.2,57.5
15256791,grey,336.0,37.8,85.5
16050664,grey,5.0,35.3,93.3
8171681,green,163.0,24.8,58.8
9152695,grey,200.0,23.4,63.1
9535825,grey,45.0,28.3,44.3
16777184,white,60.0,100.0,93.9
16261759,pink,334.0,93.9,55.3
13836589,red,356.0,73.0,47.8
15210799,pink,354.0,81.8,50.4
16629250,yellow,46.0,98.4,50.0
10761309,pink,338.0,51.9,42.4
7048739,green,80.0,60.5,34.7
11319182,grey,76.0,22.2,63.7
6630849,purple,309.0,62.2,46.7
47611,blue,196.0,100.0,49.2
8815521,purple,246.0,13.8,57.3
3050327,green,146.0,50.3,36.3
13580836,red,7.0,70.4,47.6
13612347,yellow,49.0,60.7,52.2
13867979,purple,309.0,38.9,71.8
3421236,grey,0.0,0.0,20.4
14958949,red,347.0,75.1,57.5
11830165,purple,338.0,24.6,61.0
1607693,green,114.0,82.6,29.2
5082199,green,130.0,29.0,42.5
6591981,blue,219.0,79.2,66.1
11202769,cyan,153.0,70.0,80.4
14260384,pink,352.0,46.1,72.4
8144968,brown,0.0,26.5,38.4
16121850,white,150.0,100.0,98.0
2690142,purple,261.0,77.4,20.8
52428,cyan,180.0,100.0,40.0
13551855,purple,249.0,54.9,86.1
16441261,brown,39.0,88.5,82.9
10966955,purple,297.0,33.3,50.6
16538253,pink,341.0,96.4,67.1
7870538,purple,329.0,66.7,28.2
15215,blue,208.0,100.0,21.8
13541231,brown,30.0,49.2,62.2
5389109,brown,12.0,21.5,26.5
14596231,brown,34.0,56.9,70.0
13745832,brown,32.0,30.8,73.9
11247762,brown,217.0,13.0,62.2
15984043,yellow,48.0,75.0,81.2
6377070,grey,275.0,17.0,36.9
8270157,purple,338.0,44.0,34.3
16711680,red,0.0,100.0,50.0
10053120,brown,40.0,100.0,30.0
12918068,red,352.0,74.3,44.3
11112292,brown,37.0,28.6,52.7
8666971,purple,336.0,35.4,38.2
10140019,green,87.0,33.3,58.8
13648254,pink,334.0,60.3,53.5
12582656,green,75.0,100.0,50.0
11155290,pink,342.0,51.1,44.1
11411497,red,352.0,68.9,40.4
16746,blue,203.0,100.0,20.8
9859030,purple,262.0,55.7,63.7
14725375,purple,276.0,100.0,84.5
13938487,yellow,46.0,64.6,52.4
32769,green,120.0,100.0,25.1
16574595,yellow,50.0,95.3,75.1
11930662,red,350.0,87.6,38.0
10740717,blue,188.0,67.3,78.4
16753475,brown,31.0,100.0,63.1
13608100,brown,0.0,30.9,72.7
3937313,black,340.0,50.0,15.7
9158171,green,78.0,75.1,42.5
9388373,purple,345.0,37.5,40.8
8943811,purple,253.0,38.5,61.8
15942196,red,5.0,88.8,57.8
5065530,grey,53.0,14.1,26.5
9394236,brown,20.0,40.9,39.8
9461085,brown,0.0,21.5,46.5
6196273,green,90.0,48.1,37.1
6724044,blue,210.0,50.0,60.0
2300190,black,330.0,16.7,11.8
9215582,grey,76.0,25.4,49.4
14716220,brown,29.0,72.6,55.7
11226173,brown,8.0,47.4,45.5
15060169,grey,6.0,35.0,84.3
10311190,brown,28.0,75.4,35.1
16235389,brown,30.0,88.4,72.9
16196490,pink,330.0,93.0,55.3
12199,blue,223.0,100.0,32.7
39270,green,160.0,100.0,30.0
15429579,pink,315.0,75.6,67.8
13082564,purple,329.0,26.3,70.2
1579814,black,227.0,22.6,12.2
4017233,grey,195.0,14.1,27.8
9653649,purple,302.0,31.3,43.9
8353491,purple,246.0,51.4,64.5
15504748,brown,19.0,77.1,67.5
16760200,orange,27.0,100.0,76.7
10603249,blue,209.0,74.1,78.8
38552,cyan,181.0,100.0,29.8
16777164,white,60.0,100.0,90.0
7760256,grey,273.0,9.9,45.7
52377,green,165.0,100.0,40.0
14211288,grey,0.0,0.0,84.7
16595530,pink,355.0,98.0,61.0
16775885,yellow,54.0,100.0,90.2
38614,blue,197.0,100.0,42.0
14680064,red,0.0,100.0,43.9
6697881,purple,270.0,50.0,40.0
1845313,blue,221.0,39.8,18.2
16638960,pink,330.0,86.7,94.1
14239294,red,3.0,67.1,54.7
16729964,pink,348.0,100.0,63.9
7050082,green,108.0,20.0,48.0
8323327,purple,270.0,100.0,50.0
13389404,pink,353.0,55.3,55.3
3329330,green,120.0,60.8,50.0
16686340,orange,37.0,99.2,50.6
7483735,purple,325.0,39.9,32.0
10921638,grey,0.0,0.0,65.1
12399524,purple,311.0,57.5,47.1
16744272,orange,16.0,100.0,65.7
11571834,brown,26.0,25.5,58.4
15654242,yellow,53.0,80.5,65.9
12092939,brown,43.0,88.7,38.2
5842443,brown,0.0,78.0,19.6
8748117,grey,48.0,22.0,42.7
5274922,green,93.0,49.7,32.7
6711039,blue,240.0,100.0,70.0
15458783,grey,10.0,23.1,89.8
7630016,purple,246.0,40.0,58.8
5027749,green,169.0,42.6,50.8
16338176,orange,19.0,100.0,48.8
14919767,brown,35.0,71.4,61.6
